Case-Acc #,Avian influenza virus isolate,Hemagglutinin gene,Matrix gene,Neuraminidase gene,Nucleocapsid protein gene,Nuclear export protein and nonstructural protein 1 genes,Polymerase PA and PA-X protein genes,Polymerase PB1 and PB1-F2 protein genes,Polymerase PB2 gene
CDX16-2394,A/mallard/Iceland/2394/2012(H11N9),MZ565658,MZ565659,MZ565660,MZ565661,MZ565662,MZ565663,MZ565664,MZ565665
CDX16-2395,A/mallard/Iceland/2395/2012(H3N8N9),MZ565666,MZ565667,MZ565669,MZ565671,MZ565673,MZ565675,MZ565677,MZ565679
CDX16-2395,A/mallard/Iceland/2395/2012(H3N8N9),,MZ565668,MZ565670,MZ565672,MZ565674,MZ565676,MZ565678,MZ565680
CDX16-2417,A/greylag goose/Iceland/2417/2012(H3N8),MZ565517,MZ565518,MZ565520,MZ565521,MZ565523,MZ565524,MZ565526,MZ565528
CDX16-2417,A/greylag goose/Iceland/2417/2012(H3N8),,MZ565519,,MZ565522,,MZ565525,MZ565527,MZ565529
CDX16-2767,A/lesser black-backed gull/Iceland/2767/2013(H2N5),MZ565650,MZ565651,MZ565652,MZ565653,MZ565654,MZ565655,MZ565656,MZ565657
CDX16-2899,A/ruddy turnstone/Iceland/2899/2013(H5N1),KM213391,KM213389,KM213392,KM213388,KM213390,KM213387,KM213386,KM213385
CDX16-3655,A/ruddy turnstone/Iceland/3655/2014(H1N3),MZ717577,MZ717578,MZ717579,MZ717580,MZ717581,MZ717582,MZ717583,MZ717584
CDX16-3782,A/mallard/Iceland/3782/2014(H2N2),MZ575090,MZ575091,MZ575092,MZ575093,MZ575094,MZ575095,MZ575096,MZ575097
CDX16-3816,A/herring gull/Iceland/3816/2014(H16N3),MZ575050,MZ575051,MZ575052,MZ575053,MZ575054,MZ575055,MZ575056,MZ575057
CDX16-3817,A/herring gull/Iceland/3817/2014(H16N3),MZ575058,MZ575059,MZ575060,MZ575061,MZ575062,MZ575063,MZ575064,MZ575065
CDX16-3819,A/herring gull/Iceland/3819/2014(H16N3),MZ717529,MZ717530,MZ717531,MZ717532,MZ717533,MZ717534,MZ717535,MZ717536
CDX16-3823,A/herring gull/Iceland/3823/2014(H16N3),MZ575066,MZ575067,MZ575068,MZ575069,MZ575070,MZ575071,MZ575072,MZ575073
CDX16-3831,A/herring gull/Iceland/3831/2014(H4N2),MZ717362,MZ717363,MZ717364,MZ717365,MZ717366,MZ717367,MZ717368,MZ717369
