"County","State","Outbreak Date","Flock Type","Flock Size"
"Merced","California","12-14-2024","Commercial Duck Meat Bird","119000"
"Tulare","California","12-14-2024","Commercial Duck Meat Bird","41100"
"Bossier","Louisiana","12-14-2024","WOAH Non-Poultry","40"
"Monterey","California","12-14-2024","Commercial Duck Breeder","13700"
"Clatsop","Oregon","12-14-2023","WOAH Non-Poultry","30"
"Darke","Ohio","12-14-2023","Commercial Table Egg Layer","522300"
"Scott","Arkansas","12-14-2023","WOAH Non-Poultry","180"
"Moody","South Dakota","12-14-2022","Commercial Table Egg Layer","1332100"
"Franklin","Washington","12-14-2022","Commercial Table Egg Layer","1015500"
"Weakley","Tennessee","12-14-2022","WOAH Poultry","37900"
"Knox","Nebraska","12-14-2022","WOAH Poultry","160"
"Spink","South Dakota","12-14-2022","WOAH Poultry","280"
"Redwood","Minnesota","12-14-2022","WOAH Non-Poultry","40"
"Tulare","California","12-13-2024","Commercial Broiler Production","514500"
"Livingston","Illinois","12-13-2024","Commercial Turkey Breeder Hens","40500"
"Barron","Wisconsin","12-13-2024","Commercial Turkey Breeder Hens","13200"
"Mcpherson","Kansas","12-13-2023","WOAH Poultry","20000"
"Merced","California","12-13-2023","Commercial Table Egg Layer","1358600"
"Merced","California","12-13-2023","Commercial Broiler Production","183100"
"Weld","Colorado","12-13-2023","WOAH Non-Poultry","30"
"Rice","Kansas","12-13-2023","Commercial Table Egg Layer","700000"
"San Joaquin","California","12-13-2023","Commercial Duck Breeder","6000"
"Daviess","Indiana","12-13-2022","Commercial Turkey Meat Bird","11400"
"Linn","Oregon","12-13-2022","WOAH Non-Poultry","20"
"Columbia","Oregon","12-13-2022","WOAH Non-Poultry","100"
"Kingsbury","South Dakota","12-12-2024","Commercial Turkey Meat Bird","39300"
"Sac","Iowa","12-12-2024","Commercial Turkey Meat Bird","45200"
"Pope","Arkansas","12-12-2024","WOAH Non-Poultry","40"
"Craighead","Arkansas","12-12-2024","WOAH Non-Poultry","10"
"St. Louis","Missouri","12-12-2023","WOAH Non-Poultry","20"
"Dutchess","New York","12-12-2023","WOAH Poultry","4200"
"Lake","South Dakota","12-12-2023","Commercial Turkey Meat Bird","76000"
"Etowah","Alabama","12-12-2023","WOAH Non-Poultry","80"
"Wadena","Minnesota","12-12-2022","Commercial Turkey Meat Bird","298100"
"Hanson","South Dakota","12-12-2022","Commercial Turkey Meat Bird","23900"
"Sac","Iowa","12-12-2022","Commercial Turkey Meat Bird","50000"
"Ida","Iowa","12-12-2022","Commercial Turkey Meat Bird","90000"
"Cherokee","Iowa","12-12-2022","Commercial Turkey Meat Bird","50000"
"Buena Vista","Iowa","12-12-2022","Commercial Turkey Meat Bird","51200"
"Palo Alto","Iowa","12-11-2024","Commercial Turkey Meat Bird","31100"
"Brule","South Dakota","12-11-2024","Commercial Turkey Meat Bird","50900"
"Adair","Oklahoma","12-11-2024","WOAH Poultry","40000"
"Dodge","Nebraska","12-11-2024","WOAH Non-Poultry","10"
"Sioux","Iowa","12-11-2024","Commercial Table Egg Layer","1575700"
"Olmsted","Minnesota","12-11-2023","Commercial Turkey Breeder Hens","14400"
"Tulare","California","12-10-2024","Commercial Broiler Production","330200"
"Cedar","Missouri","12-10-2024","WOAH Non-Poultry","20"
"Jewell","Kansas","12-10-2024","WOAH Non-Poultry","40"
"Beadle","South Dakota","12-10-2024","Commercial Turkey Meat Bird","52200"
"La Plata","Colorado","12-10-2024","WOAH Non-Poultry","20"
"Jefferson","Idaho","12-10-2024","WOAH Non-Poultry","60"
"Moody","South Dakota","12-10-2024","Commercial Turkey Meat Bird","46700"
"Stanislaus","California","12-10-2024","Commercial Duck Breeder","82600"
"Charles Mix","South Dakota","12-10-2024","Commercial Turkey Meat Bird","32400"
"Franklin","Idaho","12-10-2024","WOAH Non-Poultry","40"
"Daviess","Missouri","12-10-2024","WOAH Poultry","19900"
"Kern","California","12-09-2024","WOAH Poultry","45400"
"Hutchinson","South Dakota","12-09-2024","Commercial Turkey Meat Bird","42800"
"Lafayette","Arkansas","12-09-2024","WOAH Non-Poultry","40"
"Beadle","South Dakota","12-09-2024","Commercial Turkey Meat Bird","50600"
"Osage","Missouri","12-09-2022","Commercial Turkey Meat Bird","19700"
"Prowers","Colorado","12-09-2022","Commercial Upland Gamebird Producer","11000"
"Polk","Oregon","12-09-2022","WOAH Non-Poultry","70"
"Clackamas","Oregon","12-09-2022","WOAH Non-Poultry","60"
"Onslow","North Carolina","12-09-2022","WOAH Non-Poultry","60"
"Mills","Iowa","12-08-2023","WOAH Non-Poultry","10"
"Barton","Kansas","12-08-2023","WOAH Non-Poultry","30"
"Charles Mix","South Dakota","12-08-2023","Commercial Turkey Meat Bird","32400"
"Barron","Wisconsin","12-08-2023","Commercial Turkey Meat Bird","70000"
"Dade","Missouri","12-08-2022","WOAH Non-Poultry","30"
"Dodge","Minnesota","12-08-2022","Commercial Turkey Meat Bird","10000"
"Hamlin","South Dakota","12-08-2022","Commercial Turkey Meat Bird","58100"
"Carroll","Arkansas","12-07-2023","Commercial Turkey Meat Bird","33300"
"Orleans","Vermont","12-07-2023","WOAH Non-Poultry","40"
"Darke","Ohio","12-07-2023","Commercial Turkey Meat Bird","15200"
"Montmorency","Michigan","12-07-2023","WOAH Poultry","100"
"Stanislaus","California","12-07-2023","Commercial Broiler Production","258600"
"Hardin","Ohio","12-07-2023","Commercial Table Egg Layer","2613600"
"Sonoma","California","12-07-2023","Commercial Duck Meat Bird","4900"
"Sac","Iowa","12-07-2022","Commercial Turkey Meat Bird","40000"
"Kingsbury","South Dakota","12-07-2022","WOAH Non-Poultry","70"
"Cherokee","Iowa","12-07-2022","Commercial Turkey Meat Bird","105000"
"Sioux","Iowa","12-06-2024","Commercial Table Egg Layer","4200000"
"Stanislaus","California","12-06-2024","WOAH Poultry","44100"
"Pitkin","Colorado","12-06-2024","WOAH Non-Poultry","50"
"Nemaha","Nebraska","12-06-2024","Commercial Turkey Breeder Hens","12400"
"Washakie","Wyoming","12-06-2024","WOAH Non-Poultry","20"
"Bon Homme","South Dakota","12-06-2023","Commercial Turkey Meat Bird","47600"
"Todd","Minnesota","12-06-2023","Commercial Turkey Meat Bird","64000"
"Hamlin","South Dakota","12-06-2023","Commercial Turkey Meat Bird","56200"
"Becker","Minnesota","12-06-2023","Commercial Breeder Operation","20600"
"Sonoma","California","12-06-2023","Commercial Table Egg Layer","232000"
"Harrison","Missouri","12-06-2022","WOAH Non-Poultry","30"
"Denton","Texas","12-06-2022","WOAH Non-Poultry","40"
"Larimer","Colorado","12-06-2022","WOAH Non-Poultry","2"
"Pawnee","Oklahoma","12-06-2022","WOAH Non-Poultry","30"
"Lamoille","Vermont","12-06-2022","WOAH Non-Poultry","50"
"Merced","California","12-05-2024","Commercial Table Egg Layer","1723800"
"Merced","California","12-05-2024","Commercial Table Egg Layer","306100"
"Merced","California","12-05-2024","Commercial Table Egg Layer","793700"
